,,width,width,width,width,width,width,width,width,width,width
,,0,0.10555556,0.21111111,0.31666667,0.42222222,0.52777778,0.63333333,0.73888889,0.84444444,0.95
peaking,1,-0.05069091,-0.05582754,-0.06176364,-0.06864038,-0.07662657,-0.08590871,-0.09666655,-0.1090216,-0.12294055,-0.13807588
peaking,1.22222222,0.25014517,0.27424909,0.30241125,0.33536809,0.37396822,0.41910617,0.47157803,0.5318111,0.59941914,0.67257332
peaking,1.44444444,0.51647618,0.56574693,0.62368044,0.69191175,0.772276,0.86662501,0.9764702,1.10238582,1.243156,1.39477072
peaking,1.66666667,0.75227265,0.82363737,0.90825389,1.0087155,1.12785707,1.26841447,1.43241685,1.6202727,1.82964466,2.05439189
peaking,1.88888889,0.96150508,1.05289181,1.16234156,1.29350424,1.45027173,1.63624119,1.8538249,2.1030419,2.38025976,2.67731241
peaking,2.11111111,1.14814398,1.25848166,1.39215342,1.55400289,1.74908029,1.98187183,2.25510124,2.56826356,2.91637592,3.28940788
peaking,2.33333333,1.31615985,1.44537832,1.60389941,1.79793635,2.03384305,2.31707304,2.65065277,3.03350782,3.45936777,3.91655387
peaking,2.55555556,1.46952321,1.61855318,1.8037895,2.03302952,2.31412033,2.65361146,3.05488639,3.51634484,4.03060994,4.58462596
peaking,2.77777778,1.61220457,1.78297764,1.99803364,2.26700733,2.59947242,3.00325374,3.482209,4.03434476,4.65147707,5.31949974
peaking,3,1.74817444,1.94362311,2.19284179,2.50759466,2.89945963,3.37776654,3.94702751,4.60507774,5.34334378,6.1470508
